product_id,product_key,categoriesID,name,price,url,image.image_link,image.alt
496346946,496346946-01255813800-p,2419045,ÁO KHOÁC ANORAK CÓ MŨ WATER REPELLENT WINDPROOF,2.199.000 VND,https://www.zara.com/vn/vi/-p496346946.html?v1=496346946&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK CÓ MŨ WATER REPELLENT WINDPROOF - Màu đen từ Zara
494116739,494116739-08073243712-a2,2419045,ÁO PHAO CÓ MŨ WATER REPELLENT WINDPROOF,3.999.000 VND,https://www.zara.com/vn/vi/-p494116739.html?v1=494116739&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO PHAO CÓ MŨ WATER REPELLENT WINDPROOF - Kem từ Zara
466601154,466601154-08073232800-e1,2419045,ÁO KHOÁC LÔNG VŨ CÓ MŨ CHỐNG NƯỚC CẢN GIÓ,3.999.000 VND,https://www.zara.com/vn/vi/-p466601154.html?v1=466601154&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC LÔNG VŨ CÓ MŨ CHỐNG NƯỚC CẢN GIÓ - Màu đen từ Zara
472914157,472914157-08073332712-a2,2419045,ÁO KHOÁC ANORAK LÓT LÔNG CỪU NHÂN TẠO CÓ MŨ TRÙM ĐẦU VỚI LỚP CÁCH NHIỆT,2.599.000 VND,https://www.zara.com/vn/vi/-p472914157.html?v1=472914157&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK LÓT LÔNG CỪU NHÂN TẠO CÓ MŨ TRÙM ĐẦU VỚI LỚP CÁCH NHIỆT - Kem từ Zara
472914158,472914158-08073332800-a4,2419045,ÁO KHOÁC ANORAK LÓT LÔNG CỪU NHÂN TẠO CÓ MŨ TRÙM ĐẦU VỚI LỚP CÁCH NHIỆT,2.599.000 VND,https://www.zara.com/vn/vi/-p472914158.html?v1=472914158&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK LÓT LÔNG CỪU NHÂN TẠO CÓ MŨ TRÙM ĐẦU VỚI LỚP CÁCH NHIỆT - Màu đen từ Zara
457739916,457739916-08372279712-a1,2419045,ÁO KHOÁC CHẦN BÔNG TÚI ĐÁP,1.399.000 VND,https://www.zara.com/vn/vi/-p457739916.html?v1=457739916&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC CHẦN BÔNG TÚI ĐÁP - Kem từ Zara
457739917,457739917-08372279800-p,2419045,ÁO KHOÁC CHẦN BÔNG CÓ TÚI ĐÁP,1.399.000 VND,https://www.zara.com/vn/vi/-p457739917.html?v1=457739917&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC CHẦN BÔNG CÓ TÚI ĐÁP - Màu đen từ Zara
480486703,480486703-03046376800-p,2419045,ÁO KHOÁC ANORAK DÁNG DÀI CỔ TRÒN WATER REPELLENT WINDPROOF,3.199.000 VND,https://www.zara.com/vn/vi/-p480486703.html?v1=480486703&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK DÁNG DÀI CỔ TRÒN WATER REPELLENT WINDPROOF - Màu đen từ Zara
475180931,475180931-06318227700-a1,2419045,ÁO KHOÁC ANORAK LÓT LÔNG CỪU NHÂN TẠO CÁCH NHIỆT,2.599.000 VND,https://www.zara.com/vn/vi/-p475180931.html?v1=475180931&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK LÓT LÔNG CỪU NHÂN TẠO CÁCH NHIỆT - Màu nâu từ Zara
496346947,496346947-04749819800-a1,2419045,ÁO KHOÁC CHẦN BÔNG CÓ MŨ LÔNG CHỐNG THẤM NƯỚC CẢN GIÓ,2.599.000 VND,https://www.zara.com/vn/vi/-p496346947.html?v1=496346947&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC CHẦN BÔNG CÓ MŨ LÔNG CHỐNG THẤM NƯỚC CẢN GIÓ - Màu đen từ Zara
496346945,496346945-04391812800-a3,2419045,ÁO KHOÁC ANORAK CÓ MŨ CHỐNG THẤM NƯỚC CẢN GIÓ,2.199.000 VND,https://www.zara.com/vn/vi/-p496346945.html?v1=496346945&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK CÓ MŨ CHỐNG THẤM NƯỚC CẢN GIÓ - Màu đen từ Zara
496346944,496346944-04749818800-p,2419045,"ÁO KHOÁC ANORAK CHẦN BÔNG, MŨ TRÙM ĐẦU PHỐI LÔNG NHÂN TẠO CHỐNG THẤM NƯỚC VÀ CẢN GIÓ",3.599.000 VND,https://www.zara.com/vn/vi/-p496346944.html?v1=496346944&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,"ÁO KHOÁC ANORAK CHẦN BÔNG, MŨ TRÙM ĐẦU PHỐI LÔNG NHÂN TẠO CHỐNG THẤM NƯỚC VÀ CẢN GIÓ - Màu đen từ Zara"
496346943,496346943-04749821700-a2,2419045,ÁO KHOÁC ANORAK NGẮN WATER AND WIND PROTECTION CHẦN BÔNG,2.599.000 VND,https://www.zara.com/vn/vi/-p496346943.html?v1=496346943&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK NGẮN WATER AND WIND PROTECTION CHẦN BÔNG - Màu nâu từ Zara
463026983,463026983-08372279686-a2,2419045,ÁO KHOÁC CHẦN BÔNG CÓ TÚI ĐÁP,1.399.000 VND,https://www.zara.com/vn/vi/-p463026983.html?v1=463026983&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC CHẦN BÔNG CÓ TÚI ĐÁP - Màu đỏ rượu đậm từ Zara
461085440,461085440-08372281730-a2,2419045,ÁO KHOÁC CHẦN BÔNG CÓ MŨ WATER REPELLENT,1.899.000 VND,https://www.zara.com/vn/vi/-p461085440.html?v1=461085440&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC CHẦN BÔNG CÓ MŨ WATER REPELLENT - Màu nâu nhạt từ Zara
494116756,494116756-03046233800-p,2419045,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ,2.199.000 VND,https://www.zara.com/vn/vi/-p494116756.html?v1=494116756&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ - Màu đen từ Zara
494116756,494116756-03046233800-p,2419045,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ,2.199.000 VND,https://www.zara.com/vn/vi/-p494116756.html?v1=494116756&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ - Màu đen từ Zara
494116647,494116647-03046233681-a2,2419045,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ,2.199.000 VND,https://www.zara.com/vn/vi/-p494116647.html?v1=494116647&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ - Màu đỏ tía từ Zara
494116647,494116647-03046233681-a2,2419045,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ,2.199.000 VND,https://www.zara.com/vn/vi/-p494116647.html?v1=494116647&v2=2419045,https://static.zara.net/stdstatic/7.17.0/images/transparent-background.png,ÁO KHOÁC ANORAK CHẦN BÔNG HIỆU ỨNG DA CHỐNG THẤM NƯỚC CẢN GIÓ - Màu đỏ tía từ Zara
498678455,498678455-01255787803-p,2420942,ÁO KHOÁC BLAZER CROPPED KẺ CA RÔ OVERSIZE,2.199.000 VND,https://www.zara.com/vn/vi/-p498678455.html?v1=498678455&v2=2420942,https://static.zara.net/assets/public/74e6/a142/c68740c28654/954c6dad3780/01255787803-p/01255787803-p.jpg?ts=1762864509200&w=260,"Bộ blazer kẻ sọc màu xám đậm, áo thun đỏ, quần soóc bermuda đồng bộ, tất xám và giày đen."
