product_id,categoriesID,name,price,image.image_link,image.alt,url
E455942-000,sport-utility-wear,AIRism Quần Jogger Siêu Co Giãn,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/455942/item/vngoods_69_455942_3x4.jpg?width=294,AIRism Quần Jogger Siêu Co Giãn,https://www.uniqlo.com/vn/vi/products/E455942-000
E480809-000,sport-utility-wear,AIRism Quần Leggings Mềm Ống Loe,588.000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/480809/item/goods_69_480809_3x4.jpg?width=294,AIRism Quần Leggings Mềm Ống Loe,https://www.uniqlo.com/vn/vi/products/E480809-000
E474472-000,sport-utility-wear,AIRism Quần Leggings Mềm,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474472/item/vngoods_09_474472_3x4.jpg?width=294,AIRism Quần Leggings Mềm,https://www.uniqlo.com/vn/vi/products/E474472-000
E475820-000,sport-utility-wear,Quần Dài Gear,784.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475820/item/vngoods_61_475820_3x4.jpg?width=294,Quần Dài Gear,https://www.uniqlo.com/vn/vi/products/E475820-000
E474481-000,sport-utility-wear,Quần Dài Siêu Co Giãn Dáng Rộng,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474481/item/vngoods_33_474481_3x4.jpg?width=294,Quần Dài Siêu Co Giãn Dáng Rộng,https://www.uniqlo.com/vn/vi/products/E474481-000
E473979-000,sport-utility-wear,AIRism Áo Bra Top | Không Tay,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/473979/item/vngoods_71_473979_3x4.jpg?width=294,AIRism Áo Bra Top | Không Tay,https://www.uniqlo.com/vn/vi/products/E473979-000
E465707-000,sport-utility-wear,AIRism Áo Bra Top Hai Dây,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/465707/item/vngoods_09_465707_3x4.jpg?width=294,AIRism Áo Bra Top Hai Dây,https://www.uniqlo.com/vn/vi/products/E465707-000
E480709-000,sport-utility-wear,Tất Ngắn | 3 Đôi| Ribbed Mix Yarn,195.000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/480709/item/goods_41_480709_3x4.jpg?width=294,Tất Ngắn | 3 Đôi| Ribbed Mix Yarn,https://www.uniqlo.com/vn/vi/products/E480709-000
E480414-000,loungewear-and-homewear,Áo Polo Dệt Kim Vải Gân Có Thể Giặt Máy,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/480414/item/vngoods_35_480414_3x4.jpg?width=294,Áo Polo Dệt Kim Vải Gân Có Thể Giặt Máy,https://www.uniqlo.com/vn/vi/products/E480414-000
E478870-000,loungewear-and-homewear,Áo Cardigan Dệt Kim Vải Gân Có Thể Giặt Máy,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478870/item/vngoods_30_478870_3x4.jpg?width=294,Áo Cardigan Dệt Kim Vải Gân Có Thể Giặt Máy,https://www.uniqlo.com/vn/vi/products/E478870-000
E478848-000,loungewear-and-homewear,Quần Len Vặn Thừng Có Thể Giặt Máy,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478848/item/vngoods_33_478848_3x4.jpg?width=294,Quần Len Vặn Thừng Có Thể Giặt Máy,https://www.uniqlo.com/vn/vi/products/E478848-000
E481486-000,loungewear-and-homewear,Quần Dài Vải Dạ | Gingham,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481486/item/vngoods_66_481486_3x4.jpg?width=294,Quần Dài Vải Dạ | Gingham,https://www.uniqlo.com/vn/vi/products/E481486-000
E478861-000,loungewear-and-homewear,Quần Dài Vải Dạ | Caro,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478861/item/vngoods_37_478861_3x4.jpg?width=294,Quần Dài Vải Dạ | Caro,https://www.uniqlo.com/vn/vi/products/E478861-000
E478849-000,loungewear-and-homewear,Quần Dài Vải Dạ,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478849/item/vngoods_02_478849_3x4.jpg?width=294,Quần Dài Vải Dạ,https://www.uniqlo.com/vn/vi/products/E478849-000
E478858-000,loungewear-and-homewear,Quần Cotton Dáng Relax Dài Đến Mắt Cá,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478858/item/vngoods_33_478858_3x4.jpg?width=294,Quần Cotton Dáng Relax Dài Đến Mắt Cá,https://www.uniqlo.com/vn/vi/products/E478858-000
E471401-000,loungewear-and-homewear,Quần Cotton Dáng Relax Dài Đến Mắt Cá | Denim,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/471401/item/vngoods_67_471401_3x4.jpg?width=294,Quần Cotton Dáng Relax Dài Đến Mắt Cá | Denim,https://www.uniqlo.com/vn/vi/products/E471401-000
E466026-000,loungewear-and-homewear,Quần Cotton Dáng Relax Dài Đến Mắt Cá,489.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/466026/item/vngoods_31_466026_3x4.jpg?width=294,Quần Cotton Dáng Relax Dài Đến Mắt Cá,https://www.uniqlo.com/vn/vi/products/E466026-000
